JEDN.EWID.;OBRĘB;DZIAŁKA;ARKUSZ;POW.DZ.[ha];NUMER JRG;CHAR.WŁADANIA;UDZIAŁ;GRUPA;UŻYTKI - SYMBOL;UŻYTKI - POW.[ha];DOKUMENT - SYGN.;DOKUMENT - RODZAJ;AKTUALIZACJA UW.;Wartość zł;Wartość drogi;Wartość rowy;Wartość B-RV;Wartość B-RVI;Wartość N;Wartość RIVa;Wartość RIVb;Wartość RV;Wartość RVI;Wartość B-RIVa;Wartość B-Ivb;Wartość Wp;Wartość B;Wartość ŁIII;Wartość ŁIV;Wartość ŁV;Wartość ŁVI;Wartość PsIII;Wartość PsIV;Wartość PsV;Wartość PsVI;Wartość LsIII;Wartość LsIV;WartośćLsV;WarośćLsVI;Wartość Ba;Wartość Bp;Wartość Bi;Wartość Ws;wartość K;Wartość Lz-RIV;Wartość Lz-RV;Wartość Lz-RVI;Wartość S-RV;Wartość B-ŁIV;Wartość S-ŁIV;Wartość S-ŁV;Wartość Lz-ŁIV;Wartość B-PsVI;Wartość S-PsV;Wartość bz;Wartość Wp;Wartość Wsr;pow. zabudowy;aktualne wyk;plan;przeznaczenie w planie lub studium;uwagi;wartość szacunkowa została określona przez: ……………..skład komisji
POKÓJ;DĄBRÓWKA DOLNA   0391;107;1;0,11;234;właściciel;;4,1;B-RV;0,07;42332;Księga wieczysta;;7000;0;0;7000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;109;1;0,07;234;właściciel;;4,1;B-RV;0,07;42332;Księga wieczysta;;7000;0;0;7000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;110;1;0,01;234;właściciel;;4,1;B-RV;0,01;42332;Księga wieczysta;;1000;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;133/1;1;0,22;234;właściciel;;4,1;B-RV;0,22;70821;Księga wieczysta;;22000;0;0;22000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;152;1;0,03;234;właściciel;;4,1;B-RV;0,03;42332;Księga wieczysta;;3000;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;156;1;0,08;234;właściciel;;4,1;B-RV;0,08;42332;Księga wieczysta;;8000;0;0;8000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;176;1;0,04;234;właściciel;;4,1;B-RV;0,04;42332;Księga wieczysta;;4000;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;182/1;1;0,24;234;właściciel;;4,1;B-RV;0,24;G.IV-7227/530/92;DECYZJA WOJEWODY;;24000;0;0;24000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;240/2;1;0,1174;297;właściciel;;4,1;B-RV;0,1174;73065;Księga wieczysta;;11740;0;0;11740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;317;1;0,25;234;właściciel;;4,1;B-RVI;0,24;42332;Księga wieczysta;;24000;0;0;0;24000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;rezerwa do sprzedaży;sprzedaż;zabudowa mieszkaniowa, usługi dla ludności;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
